username,strMainList,strTagsList,strAtUsersList,retweets
ActiveSpaces,"['Book', 'launch', 'today', 'with', 'Buea', '5pm', 'His', 'story', 'of', 'a', 'Speaker', 'will', 'hit', 'the', 'market', 'today', 'R']",[],"['Seriss_cweald', 'ActivSpaces']",4
ActiveSpaces,"['fut', 'invité', 'à', 'la', '2ème', 'Edition', 'du', 'HighTech', 'Innovation', 'Seminar', '', 'autour', 'du', 'thème', '']",['ActivSpacesHebdo'],['ActivSpaces'],2
ActiveSpaces,"['Soon', 'son', 'soon']",[],['DjiaThink'],0
ActiveSpaces,"['ActivSpaces', 'produces', 'one', 'of', 'the', 'fastest', 'growing', 'companies', 'in', 'Silicon', 'Mountain', 'via']",[],['activspaces'],0
ActiveSpaces,"['Visite', 'High', 'Tech', 'Center']",[],[],1
ActiveSpaces,"['Visite', 'du', 'HighTech', 'Center', 'à', 'lEcole', 'Nationale', 'Supérieure', 'Polytechnique', 'Aperçu', 'des', 'ateliers', 'en', 'robotique']",[],[],0
ActiveSpaces,"['Visite', 'du', 'HighTech', 'Center', 'à', 'lEcole', 'Nationale', 'Supérieure', 'Polytechnique', 'Aperçu', 'des', 'ateliers', 'en', 'robotique']",[],[],0
ActiveSpaces,"['RT', 'Lentrepreneuriat', 'est', 'un', 'domaine', 'dans', 'lequel', 'on', 'apprend', 'tout', 'le', 'temps', 'Regardez', 'la']","['vidéo', 'GES2']",['USEmbYaounde'],6
ActiveSpaces,['RT'],"['cameroun', 'entrepreneuriat', 'startup', 'CustomerAcquisition']","['annefaleu', 'ActivSpaces']",1
ActiveSpaces,"['RT', 'Our', 'today', 'is', 'no', 'other', 'than', 'Rebecca', 'Enonchong', 'africatechie', 'the', 'founder', 'amp', 'CEO', 'of', 'a', 'global', 'provider', 'of', 'ente']",['WCW'],"['aaapafrica', 'AppsTech']",31
ActiveSpaces,"['Business', 'Manager', 'of', 'Steve', 'Tchoumba', 'on', 'Incubators', 'and', 'support', 'systems']",['HighTechSeminar'],['ActivSpaces'],0
ActiveSpaces,"['Steve', 'Tchoumba', 'Business', 'Manager', 'at']",[],['ActivSpaces'],0
ActiveSpaces,"['Préoccupation', 'dun', 'participant', 'Pourquoi', 'les', 'prestations', 'concernant', 'la', 'banque', 'islamique', 'dAfriLand', 'plus', 'souples', 'e']",[],[],0
ActiveSpaces,"['La', 'banque', 'essaie', 'dadapter', 'ses', 'critères', 'et', 'son', 'mode', 'de', 'financement', 'aux', 'startups', 'et', 'PME', 'selon', 'les', 'projets']",['AfriLand'],[],1
ActiveSpaces,"['Comment', 'créer', 'efficacement', 'une', 'Startup', 'pérenne', 'cest', 'le', 'thème', 'du', 'de', 'ce', 'soir', 'dès', '18H00', 'à']",['Workshop'],['ActivSpaces'],1
ActiveSpaces,"['Séance', 'de', 'QuestionsRéponses', 'avec', 'les', 'representants', 'dAfriLand', 'First', 'Bank', 'À', 'la', 'question', 'du', 'financement', 'des', 'startup']",[],[],2
ActiveSpaces,"['Suivez', 'en', 'direct', 'la', 'présentation', 'de', 'notre', 'Business', 'Manager', 'tout', 'à', 'lheure', 'à', '11H', 'sur', 'Lacquisition']",[],['freethinkingST'],0
ActiveSpaces,"['RT', '', 'Atelier', '', 'Workshop', 'for', 'Entrepreneurs', '', '06122017', '', '18h00', '', '20h30', '', '', 'Akwa', '', '697', '630', '071', '']",['DlaO'],"['doualaout', 'ActivSpaces']",4
ActiveSpaces,"['RT', 'La', '2e', 'edition', 'du', 'Seminaire', '', 'sur', 'lEntreprenariat', 'High', 'Tech', 'et', 'lInnovation', 'avec', 'le', 'soutien', 'de', 'pendant', '4']",[],"['IsraelinCM', 'Camtelonline']",9
ActiveSpaces,"['Demain', '06', 'décembre', '2017', 'à', 'ne', 'manquez', 'pas', 'cette', 'séance', 'de', 'qui', 'a', 'pour', 'thème', 'Comment', 'créer', 'e']",['Workshop'],['ActivSpaces'],4
ActiveSpaces,"['ActivSpaces', 'to', 'Produce', 'the', 'next', 'Telecommunications', 'Company', 'in', 'Cameroon', 'via']",[],['activspaces'],5
ActiveSpaces,"['Première', 'journée', 'passée', 'avec', 'les', '100', 'entrepreneurs', 'selectionnés', 'dans', 'le', 'cadre', 'du', 'séminaire', 'de', 'lHighTech', 'et', 'de', 'lI']",[],[],2
ActiveSpaces,"['Ce', '04', 'décembre', '2017', 'à', 'a', 'lieu', 'le', 'début', 'de', 'la', 'formation', 'Réussir', 'la', 'création', 'de', 'mon', 'entreprise', '', 'une', 'o']",[],['ActivSpaces'],0
ActiveSpaces,"['Passez', 'une', 'excellente', 'semaine', 'et', 'ne', 'cessez', 'pas', 'de', 'toujours', 'penser', 'grand']","['MondayMotivation', 'Entrepreneuriat']",[],2
ActiveSpaces,"['Parlant', 'despaces', 'pouvant', 'accueillir', 'les', 'projets', 'innovants', 'et', 'startups', 'reste', 'accessible', 'et', 'ouvert', 'aux']",[],['ActivSpaces'],13
ActiveSpaces,"['', 'interviendra', 'au', 'cours', 'de', 'cette', '2ème', 'Edition', 'du', 'HighTech', 'Innovation', 'Seminar', 'organisée', 'par']",[],['ActivSpaces'],7
ActiveSpaces,"['', 'interviendra', 'au', 'cours', 'de', 'cette', '2ème', 'Edition', 'du', 'HighTech', 'Innovation', 'Seminar', 'organisée', 'par']",[],['ActivSpaces'],7
ActiveSpaces,"['Cameroun', '', 'Malgré', 'tout', 'Vodafone', 'toujours', 'intéressée', 'par', 'lacquisition', 'dune', 'licence', 'télécoms', 'via']",[],['TICMag2'],3
ActiveSpaces,"['Depuis', 'le', 'Nigéria', 'Facebook', 'et', 'Google', 'veulent', 'incuber', 'les', 'startups', 'africaines', 'via']",[],['TICMag2'],1
ActiveSpaces,"['Un', 'conseil', 'africain', 'des', 'jeunes', 'entrepreneurs', 'francophones', 'voit', 'le', 'jour', 'à', 'Abidjan', 'via']",[],['TICMag2'],0
ActiveSpaces,"['RT', 'Les', '03', 'sélectionnés', 'de', 'lEdition4', 'sont', 'connus', '', 'Cedric', 'NGOULA', 'VOOZI', 'Samuel', 'NJOCK', 'SAVE', 'Lionel', 'TCHAKO', 'MATCHWASTE', 'T']",[],['DgitalThursday'],16
ActiveSpaces,"['Trois', 'camerounais', 'sur', 'sept', 'remportent', 'la', 'compétition', 'dOrange', 'via']",['SuperCodeurs'],['TICMag2'],6
ActiveSpaces,"['Condor', 'Electronics', '', 'leader', 'du', 'marché', 'algérien', 'des', 'produits', 'électroniques', 'électroménagers', 'et', 'multimédia', 'se', 'lance']",[],[],0
ActiveSpaces,"['Bientôt', 'le', 'début', 'de', 'la', 'formation', 'Réussir', 'la', 'création', 'de', 'mon', 'entreprise', 'alors', 'saisissez', 'cette', 'opportunité', 'de', 'bâtir']",[],[],4
ActiveSpaces,"['RT', 'Vive', 'lentrepreneuriat', 'au', 'Cameroun']",[],['aw_tv17'],1
ActiveSpaces,"['RT', 'Very', 'practical', 'soft', 'and', 'easy', 'our', 'application', 'is', 'the', 'best', 'application', 'made', 'in', 'Togo', 'which', 'help', 'you', 'to', 'save']",['SOSMobile'],['DashmakeStartup'],5
ActiveSpaces,"['RT', 'Offrez', 'vous', 'le', 'plus', 'beau', 'cadeau', 'de', 'fin', 'dannée', '', 'Vous', 'formez', 'à', 'devenir', 'un', 'entrepreneur', 'à', 'succès', 'en', '2018', 'Alors', 'nhésitez']",[],['CedricRholes'],3
ActiveSpaces,"['RT', 'Ngoula', 'Cedric', 'Leonel', 'presente', 'VOOZI', 'pour', 'la', 'gestion', 'de', 'billeterie', 'evenementielle']","['DTS2', 'Yaounde']",['DgitalThursday'],5
ActiveSpaces,"['RT', '8ème', 'et', 'Dernier', 'Workshop', 'de', 'lannée', 'nous', 'y', 'aborderons', 'les', 'notions', 'de', 'LEAN', 'STARTUPCANVAS', 'et', 'également', 'de', 'MVP', 'et', 'MVT', 'ave']",[],['CedricRholes'],1
ActiveSpaces,"['RT', 'Préparons', 'ensemble', 'votre', 'nouvelle', 'année', 'devenez', 'enfin', 'le', 'best', 'entrepreneur', 'dont', 'vous', 'rêvez', 'en', '2018', 'Inscrivezvous', 'à', 'c']",[],['CedricRholes'],1
